name,points,wins
AGS,14.0,0
ATS,65.0,0
Alfa Romeo,2088.0,0
AlphaTauri,2884.0,10
Alpine F1 Team,3761.0,12
Amon,0.0,0
Apollon,0.0,0
Arrows,1314.0,0
Aston Martin,2958.0,0
BAR,1907.0,0
BMW Sauber,2932.0,12
BRM,2383.0,98
BRM-Ford,0.0,0
BRP,52.0,0
Behra-Porsche,0.0,0
Bellasi,0.0,0
Benetton,7349.5,220
Boro,0.0,0
Brabham,4575.0,179
Brabham-Alfa Romeo,121.0,0
Brabham-BRM,49.0,0
Brabham-Climax,284.0,8
Brabham-Ford,240.0,8
Brabham-Repco,696.0,48
Brawn,1752.0,95
Caterham,0.0,0
Coloni,0.0,0
Connaught,0.0,0
Connew,0.0,0
Cooper,243.0,21
Cooper-ATS,0.0,0
Cooper-Alfa Romeo,0.0,0
Cooper-BRM,120.0,0
Cooper-Borgward,0.0,0
Cooper-Castellotti,6.0,0
Cooper-Climax,1174.0,63
Cooper-Ferrari,0.0,0
Cooper-Ford,0.0,0
Cooper-Maserati,360.0,12
Cooper-OSCA,0.0,0
Dallara,191.0,0
De Tomaso,0.0,0
De Tomaso-Alfa Romeo,0.0,0
De Tomaso-Ferrari,0.0,0
De Tomaso-Osca,0.0,0
Derrington,0.0,0
ENB,0.0,0
Eagle-Climax,16.0,0
Eagle-Weslake,88.0,8
Embassy Hill,16.0,0
Emeryson,0.0,0
Ensign,139.0,0
Euro Brun,0.0,0
Ferrari,91389.0,1923
Fittipaldi,461.0,0
Fondmetal,0.0,0
Footwork,214.0,0
Force India,10347.0,0
Forti,0.0,0
Fry,0.0,0
Gilby,0.0,0
HRT,0.0,0
Haas F1 Team,3250.0,0
Hesketh,289.0,7
Honda,1062.0,10
Iso Marlboro,30.0,0
JBW,0.0,0
Jaguar,378.0,0
Jordan,2502.0,32
Kauhsen,0.0,0
Kojima,0.0,0
Kurtis Kraft,0.0,0
LDS,0.0,0
LDS-Alfa Romeo,0.0,0
LDS-Climax,0.0,0
LEC,0.0,0
Lambo,0.0,0
Larrousse,166.0,0
Leyton House,73.0,0
Life,0.0,0
Ligier,3289.0,84
Lola,153.0,0
Lotus,0.0,0
Lotus F1,7485.0,22
Lotus-BRM,151.0,2
Lotus-Borgward,0.0,0
Lotus-Climax,1370.0,126
Lotus-Ford,1043.0,69
Lotus-Maserati,0.0,0
Lotus-Pratt &amp; Whitney,0.0,0
Lyncar,0.0,0
MBM,0.0,0
MF1,0.0,0
Maki,0.0,0
Manor Marussia,13.0,0
March,1014.5,19
March-Alfa Romeo,0.0,0
March-Ford,161.0,0
Martini,0.0,0
Marussia,28.0,0
Maserati,51.0,0
Matra,394.0,0
Matra-Ford,713.0,61
McGuire,0.0,0
McLaren,57557.5,1604
McLaren-Alfa Romeo,0.0,0
McLaren-BRM,58.0,0
McLaren-Ford,791.0,17
McLaren-Serenissima,6.0,0
Mercedes,73379.5,1207
Merzario,0.0,0
Minardi,382.0,0
OSCA,0.0,0
Onyx,36.0,0
Osella,55.0,0
Pacific,0.0,0
Parnelli,51.0,0
Penske,184.0,6
Politoys,0.0,0
Porsche,206.0,6
Prost,347.0,0
Protos,0.0,0
RAM,0.0,0
RE,0.0,0
Racing Point,2349.0,2
Rebaque,0.0,0
Red Bull,68243.5,976
Renault,17168.0,352
Rial,69.0,0
Sauber,5530.0,0
Scarab,0.0,0
Scirocco,0.0,0
Shadow,429.0,6
Shadow-Ford,52.5,0
Shadow-Matra,0.0,0
Shannon,0.0,0
Simtek,0.0,0
Spirit,0.0,0
Spyker,3.0,0
Spyker MF1,0.0,0
Stebro,0.0,0
Stewart,358.0,3
Super Aguri,50.0,0
Surtees,339.0,0
Team Lotus,7742.0,374
Tec-Mec,0.0,0
Tecno,11.0,0
Theodore,29.0,0
Token,0.0,0
Toleman,127.0,0
Toro Rosso,5193.0,5
Toyota,2763.0,0
Trojan,0.0,0
Tyrrell,5125.0,166
Vanwall,247.0,26
Virgin,0.0,0
Williams,32147.5,934
Wolf,687.0,31
Zakspeed,30.0,0
